"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PROD_ID";"SF_ID";"SPICEPREFIX";"SUPPLIER";
"C1";"100nF";"CAPACITORC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"52";"";"";"C";"";
"C2";"100nF";"CAPACITORC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"52";"";"";"C";"";
"CONNECTOR";"SV1";"CONN_05X2SHD";"2X5-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-08671";"PRT-08506";"";"";
"IC1";"MCP23S09-E/SO";"MCP23S09-E/SO";"SOIC127P1030X265-18N";"8-Bit I/O Expander";"IC I/O EXPANDER";"";"McP23S09-E/SO";"1699844";"04R7657";"SOIC-18";"";"";"";"";"Microchip";
"IC2";"MCP23S09-E/SO";"MCP23S09-E/SO";"SOIC127P1030X265-18N";"8-Bit I/O Expander";"IC I/O EXPANDER";"";"McP23S09-E/SO";"1699844";"04R7657";"SOIC-18";"";"";"";"";"Microchip";
"LED1";"groen";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED2";"groen";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED3";"groen";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED4";"groen";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED5";"geel";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED6";"geel";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED7";"rood";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"LED8";"rood";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"52";"";"";"";"";
"R1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R3";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R4";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R5";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R6";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R7";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R8";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R9";"68";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"R10";"68";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"R";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S3";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S4";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S5";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S6";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S7";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
"S8";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";
